,frequency,peak flux density,duty cycle,loss calculted by SE,loss calculted by iGSE,Measured loss,error for SE,error for iGSE,loss error percent by iGSE
1614,390000.0,0.0121,0.4,0.216232426591331,3.821418763345964,4.88801,0.9557626873530678,0.21820561673442487,1.279108703522497
1615,390000.0,0.0137,0.4,0.2948911443641547,5.211533579778655,6.49356,0.9545871379699032,0.1974304418872461,1.2459979199204922
1616,390000.0,0.0154,0.4,0.39497597036524906,6.98030636763457,8.458290000000002,0.9533030943174982,0.17473787637518123,1.2117362124989766
1617,390000.0,0.0173,0.4,0.5281936609481364,9.334627550762207,11.1438896,0.9526023964785028,0.1623546278884343,1.1938226286371822
1618,390000.0,0.0195,0.4,0.7123130091401726,12.588520331634713,14.8939805,0.9521744365691782,0.15479140504885758,1.1831398851993518
1619,390000.0,0.0215,0.4,0.9090843271813335,16.066008045685805,18.9859297,0.9521179978254458,0.15379397798540223,1.1817453125886042
1620,390000.0,0.0242,0.4,1.2216701350010124,21.590254755525333,25.696150399999997,0.9524570756325814,0.1597864108265285,1.1901735616817533
1621,390000.0,0.0273,0.4,1.6509272453243253,29.17640268693343,34.9756094,0.9527977561035913,0.16580716712448687,1.1987635958857852
1622,390000.0,0.0302,0.4,2.1245147704964764,37.545990372317114,45.5908203,0.9534003828727672,0.1764572314063602,1.2142660200971656
1623,390000.0,0.034,0.4,2.8565842706548397,50.48366196986013,62.3685703,0.9541983364872028,0.1905592556150012,1.2354208840324505
1624,390000.0,0.0381,0.4,3.796410659804015,67.09296638547423,81.3755312,0.9533470245438593,0.17551424370334273,1.2128772296706496
1625,390000.0,0.0425,0.4,4.9882433813792,88.1559123866532,107.983906,0.9538056774740191,0.18361989622182034,1.2249196120435
1626,390000.0,0.0477,0.4,6.655505159563386,117.62099097361308,144.02884400000002,0.9537904701952383,0.18335114198644087,1.2245164983545433
1627,390000.0,0.0536,0.4,8.906475704322045,157.40180096164056,192.973219,0.9538460530923617,0.18433344389803355,1.225991175583997
1628,390000.0,0.0601,0.4,11.854701306829499,209.50501606957582,258.088953,0.9540673819276972,0.18824493015175348,1.2318986811957269
1629,390000.0,0.0667,0.4,15.379335395794849,271.79494664949283,338.748438,0.954599538564382,0.19764959432966356,1.2463382493893476
1630,390000.0,0.0749,0.4,20.54645431877182,363.1120794032341,450.17068800000004,0.9543585247407939,0.19339022045959145,1.2397568506667271
1631,390000.0,0.0838,0.4,27.19910523053745,480.68262800674796,592.359,0.9540834101777174,0.18852819319576822,1.2323287039857083
1632,390000.0,0.0939,0.4,36.14261674617506,638.738953114041,777.048625,0.9534873165161639,0.17799358680540617,1.2165355208284363
1633,390000.0,0.1053,0.4,48.12125739717794,850.4343165926851,1014.44094,0.9525637664059793,0.16167192878405992,1.192850429724446
1634,390000.0,0.118,0.4,63.95610996828453,1130.279498390547,1325.72712,0.951757711671249,0.14742673560864705,1.1729197263931261
1635,390000.0,0.132,0.4,84.6299734973908,1495.6432472342549,1714.2215,0.9506306661668922,0.12750875704554238,1.1461433086867074
1636,400000.0,0.011,0.4,0.17753380348043624,3.137508182482346,4.15524,0.9572747173495547,0.24492732490004282,1.3243758289460272
1637,400000.0,0.0122,0.4,0.22994182842838395,4.063701413733906,5.21944,0.9559451151026961,0.22142961433910419,1.2844053902090584
1638,400000.0,0.0137,0.4,0.30720563125330014,5.429164265430153,6.71651,0.9542611220331243,0.19166884804308304,1.2371167405574626
1639,400000.0,0.0154,0.4,0.4114699428074462,7.271800001435609,9.07275,0.9546477151020973,0.1985010056007705,1.2476622016844308
1640,400000.0,0.0173,0.4,0.5502507285711755,9.724436301502331,11.8551699,0.9535855889698236,0.17973033001388436,1.219111271073727
1641,400000.0,0.0193,0.4,0.7231911798693947,12.780767379826502,15.2003604,0.952422760984707,0.15917997708616813,1.1893151599013254
1642,400000.0,0.0216,0.4,0.9580897910429403,16.932068710403545,20.2866895,0.9527724919808656,0.16536068093300565,1.198122323206454
1643,400000.0,0.0243,0.4,1.285865203478427,22.72475730475449,27.166490200000002,0.952667231062538,0.16350043242779708,1.1954578803935656
1644,400000.0,0.0272,0.4,1.7041738130058435,30.11741526321314,36.3703906,0.953143923260317,0.17192488817502172,1.2076199196424584
1645,400000.0,0.0303,0.4,2.231587016268712,39.43824999071802,49.068691400000006,0.9545211630349549,0.1962644842263306,1.2441903839939286
1646,400000.0,0.0341,0.4,2.9977874768891586,52.979109069328935,65.7927578,0.9544359048453026,0.19475773868033647,1.2418622916799718
1647,400000.0,0.0381,0.4,3.95494661515382,69.89473059812731,86.10672659999999,0.9540692490433864,0.18827792719590714,1.2319487586995155
1648,400000.0,0.0427,0.4,5.257856982569337,92.92072259889996,113.662133,0.9537413486462608,0.18248302978002393,1.2232161978618274
