,airgap,frequency,thickness,dis_ver,current,analytical ac/dc,measured ac/dc,dcloss,acloss,error,abs error
369,0.0005,366666.66666667,3.5000000000000004e-05,0.001,10.0,1.0009398596693528,1.1056449493832563,0.99988998099252,1.1055233074233,0.09470046398919416,0.09470046398919416
370,0.0005,366666.66666667,3.5000000000000004e-05,0.002,10.0,1.0009398596693528,1.134162939526027,0.99988998099252,1.1340381600451,0.11746379220639047,0.11746379220639047
371,0.0005,366666.66666667,3.5000000000000004e-05,0.003,10.0,1.0009398596693528,1.1474936517016499,0.99988998099252,1.147367405589,0.12771642946779563,0.12771642946779563
372,0.0005,472222.22222222004,3.5000000000000004e-05,0.001,10.0,1.001558467688221,1.1371263564438152,0.99988998099252,1.1370012509307,0.11921972258172046,0.11921972258172046
373,0.0005,472222.22222222004,3.5000000000000004e-05,0.002,10.0,1.001558467688221,1.1745707991763403,0.99988998099252,1.1744415740628,0.14729834217694077,0.14729834217694077
374,0.0005,472222.22222222004,3.5000000000000004e-05,0.003,10.0,1.001558467688221,1.190538940281076,0.99988998099252,1.1904079583685,0.15873523007003731,0.15873523007003731
375,0.0005,577777.77777778,3.5000000000000004e-05,0.001,10.0,1.002332289723241,1.1643470256026192,0.99988998099252,1.1642189252985,0.13914643342308183,0.13914643342308183
376,0.0005,577777.77777778,3.5000000000000004e-05,0.002,10.0,1.002332289723241,1.2037641804276706,0.99988998099252,1.2036317434873,0.16733500961364825,0.16733500961364825
377,0.0005,577777.77777778,3.5000000000000004e-05,0.003,10.0,1.002332289723241,1.2231215992864808,0.99988998099252,1.2229870326621,0.18051296755125518,0.18051296755125518
378,0.0005,683333.33333333,3.5000000000000004e-05,0.001,10.0,1.003261016571664,1.1880232025110036,0.99988998099252,1.1878924973774,0.15552068810510314,0.15552068810510314
379,0.0005,683333.33333333,3.5000000000000004e-05,0.002,10.0,1.003261016571664,1.2333435243583317,0.99988998099252,1.2332078331279,0.186551843215273,0.186551843215273
380,0.0005,683333.33333333,3.5000000000000004e-05,0.003,10.0,1.003261016571664,1.2521138491611365,0.99988998099252,1.2519760928382,0.19874617053089338,0.19874617053089338
381,0.0005,788888.88888889,3.5000000000000004e-05,0.001,10.0,1.0043442775906504,1.2062337760120259,0.99988998099252,1.2061010673692,0.16737178351019968,0.16737178351019968
382,0.0005,788888.88888889,3.5000000000000004e-05,0.002,10.0,1.0043442775906504,1.2565610534512388,0.99988998099252,1.2564228078513,0.20071987363276636,0.20071987363276636
383,0.0005,788888.88888889,3.5000000000000004e-05,0.003,10.0,1.0043442775906504,1.2770170170843547,0.99988998099252,1.2768765209396,0.21352318398721276,0.21352318398721276
384,0.0005,894444.4444444401,3.5000000000000004e-05,0.001,10.0,1.0055816410936764,1.2245225832065412,0.99988998099252,1.2243878624473,0.17879698187316795,0.17879698187316795
385,0.0005,894444.4444444401,3.5000000000000004e-05,0.002,10.0,1.0055816410936764,1.2768355131581728,0.99988998099252,1.2766950369823,0.21244229916002796,0.21244229916002796
386,0.0005,894444.4444444401,3.5000000000000004e-05,0.003,10.0,1.0055816410936764,1.300031715019379,0.99988998099252,1.2998886868204,0.2264945312671186,0.2264945312671186
387,0.0005,1000000.0,3.5000000000000004e-05,0.001,10.0,1.0069726148112792,1.24603425717246,0.99988998099252,1.2458971697202,0.1918580014835764,0.1918580014835764
388,0.0005,1000000.0,3.5000000000000004e-05,0.002,10.0,1.0069726148112792,1.294052384400759,0.99988998099252,1.2939100140418,0.22184555513370408,0.22184555513370408
389,0.0005,1000000.0,3.5000000000000004e-05,0.003,10.0,1.0069726148112792,1.3186489777958517,0.99988998099252,1.3185039013441,0.23636037204195598,0.23636037204195598
390,0.0005,50000.0,7.000000000000001e-05,0.001,10.0,1.0002797068120466,1.0145437844897691,0.50069301825825,0.50797498961133,0.014059597915624876,0.014059597915624876
391,0.0005,50000.0,7.000000000000001e-05,0.002,10.0,1.0002797068120466,1.021814972539314,0.50069301825825,0.51161562270218,0.021075504182278774,0.021075504182278774
392,0.0005,50000.0,7.000000000000001e-05,0.003,10.0,1.0002797068120466,1.0242910103799308,0.50069301825825,0.51285535756192,0.02344187669769539,0.02344187669769539
393,0.0005,155555.55555556001,7.000000000000001e-05,0.001,10.0,1.0027044722444023,1.0755890348080892,0.50069301825825,0.53853992024354,0.0677624633619394,0.0677624633619394
394,0.0005,155555.55555556001,7.000000000000001e-05,0.002,10.0,1.0027044722444023,1.1236682892536813,0.50069301825825,0.56261286726751,0.10765082379393377,0.10765082379393377
395,0.0005,155555.55555556001,7.000000000000001e-05,0.003,10.0,1.0027044722444023,1.1383474481938787,0.50069301825825,0.56996261966277,0.1191577985831038,0.1191577985831038
396,0.0005,261111.11111111002,7.000000000000001e-05,0.001,10.0,1.0076041120999253,1.1175170700964543,0.50069301825825,0.55953299478171,0.09835461214658876,0.09835461214658876
397,0.0005,261111.11111111002,7.000000000000001e-05,0.002,10.0,1.0076041120999253,1.150694016576547,0.50069301825825,0.57614446025142,0.12435095899979674,0.12435095899979674
398,0.0005,261111.11111111002,7.000000000000001e-05,0.003,10.0,1.0076041120999253,1.1953350403561744,0.50069301825825,0.59849590918578,0.15705297838529933,0.15705297838529933
399,0.0005,366666.66666667,7.000000000000001e-05,0.001,10.0,1.0149474882862393,1.1598577815527014,0.50069301825825,0.58073269339594,0.12493798426947718,0.12493798426947718
400,0.0005,366666.66666667,7.000000000000001e-05,0.002,10.0,1.0149474882862393,1.2496554595974145,0.50069301825825,0.62569376384873,0.1878181458005938,0.1878181458005938
401,0.0005,366666.66666667,7.000000000000001e-05,0.003,10.0,1.0149474882862393,1.2677791496068276,0.50069301825825,0.63476816890152,0.19942878962711938,0.19942878962711938
402,0.0005,472222.22222222004,7.000000000000001e-05,0.001,10.0,1.0246883445382486,1.2001859762341285,0.50069301825825,0.60092473891189,0.14622536437773234,0.14622536437773234
403,0.0005,472222.22222222004,7.000000000000001e-05,0.002,10.0,1.0246883445382486,1.307249011853932,0.50069301825825,0.65453045336026,0.216149076995635,0.216149076995635
404,0.0005,472222.22222222004,7.000000000000001e-05,0.003,10.0,1.0246883445382486,1.329560193570866,0.50069301825825,0.66570150627502,0.22930278035310903,0.22930278035310903
405,0.0005,577777.77777778,7.000000000000001e-05,0.001,10.0,1.0367660816795934,1.2982008610425633,0.50069301825825,0.65000010742086,0.20138238019116395,0.20138238019116395
406,0.0005,577777.77777778,7.000000000000001e-05,0.002,10.0,1.0367660816795934,1.355867060317001,0.50069301825825,0.67887317078706,0.2353482785862517,0.2353482785862517
407,0.0005,577777.77777778,7.000000000000001e-05,0.003,10.0,1.0367660816795934,1.3805369017376758,0.50069301825825,0.69122518814793,0.2490124093208806,0.2490124093208806
408,0.0005,683333.33333333,7.000000000000001e-05,0.001,10.0,1.0511067556795004,1.3272382030867282,0.50069301825825,0.66453890185115,0.20804965285435206,0.20804965285435206
409,0.0005,683333.33333333,7.000000000000001e-05,0.002,10.0,1.0511067556795004,1.3963561719244526,0.50069301825825,0.69914578628439,0.24725025261221914,0.24725025261221914
410,0.0005,683333.33333333,7.000000000000001e-05,0.003,10.0,1.0511067556795004,1.4247198867429107,0.50069301825825,0.71334730026586,0.26223620133325787,0.26223620133325787
411,0.0005,788888.88888889,7.000000000000001e-05,0.001,10.0,1.0676242682059842,1.3605088854261969,0.50069301825825,0.68119730021121,0.2152757841992798,0.2152757841992798
412,0.0005,788888.88888889,7.000000000000001e-05,0.002,10.0,1.0676242682059842,1.4278002782690704,0.50069301825825,0.71488963079651,0.2522593779710769,0.2522593779710769
413,0.0005,788888.88888889,7.000000000000001e-05,0.003,10.0,1.0676242682059842,1.4510184106189683,0.50069301825825,0.7265147875611,0.2642241749706247,0.2642241749706247
414,0.0005,894444.4444444401,7.000000000000001e-05,0.001,10.0,1.0862217146155682,1.3921838350117328,0.50069301825825,0.69705672632237,0.21977134966057563,0.21977134966057563
415,0.0005,894444.4444444401,7.000000000000001e-05,0.002,10.0,1.0862217146155682,1.4527130752176114,0.50069301825825,0.72736329429393,0.2522806236511254,0.2522806236511254
416,0.0005,894444.4444444401,7.000000000000001e-05,0.003,10.0,1.0862217146155682,1.4786690113481546,0.50069301825825,0.74035925029685,0.2654057762222111,0.2654057762222111
417,0.0005,1000000.0,7.000000000000001e-05,0.001,10.0,1.1067928511748624,1.408328314897631,0.50069301825825,0.70514015468465,0.21410878453060628,0.21410878453060628
418,0.0005,1000000.0,7.000000000000001e-05,0.002,10.0,1.1067928511748624,1.5017083185978717,0.50069301825825,0.75189487058229,0.2629774787368412,0.2629774787368412
419,0.0005,1000000.0,7.000000000000001e-05,0.003,10.0,1.1067928511748624,1.5042588450504322,0.50069301825825,0.75317190136997,0.26422712765384754,0.26422712765384754
420,0.0005,50000.0,0.00010499999999999999,0.001,10.0,1.0014153265237513,1.028195363363079,0.33379452968902,0.34320598774221,0.026045669717605,0.026045669717605
421,0.0005,50000.0,0.00010499999999999999,0.002,10.0,1.0014153265237513,1.0431728599693526,0.33379452968902,0.34820539417782,0.04002935184378559,0.04002935184378559
422,0.0005,50000.0,0.00010499999999999999,0.003,10.0,1.0014153265237513,1.0470754852645714,0.33379452968902,0.34950806915279,0.04360732285627223,0.04360732285627223
423,0.0005,155555.55555556001,0.00010499999999999999,0.001,10.0,1.013627257644973,1.1120242627081913,0.33379452968902,0.37118761577346,0.08848458470104346,0.08848458470104346
424,0.0005,155555.55555556001,0.00010499999999999999,0.002,10.0,1.013627257644973,1.1426638521840835,0.33379452968902,0.38141494313243,0.11292611934163356,0.11292611934163356
425,0.0005,155555.55555556001,0.00010499999999999999,0.003,10.0,1.013627257644973,1.223842531845985,0.33379452968902,0.40851194233095,0.1717666029173977,0.1717666029173977
426,0.0005,261111.11111111002,0.00010499999999999999,0.001,10.0,1.0379935438320922,1.179439253971993,0.33379452968902,0.39369037107635,0.11992623584771708,0.11992623584771708
427,0.0005,261111.11111111002,0.00010499999999999999,0.002,10.0,1.0379935438320922,1.221257261163706,0.33379452968902,0.40764899311944,0.15006151706069396,0.15006151706069396
428,0.0005,261111.11111111002,0.00010499999999999999,0.003,10.0,1.0379935438320922,1.2376333162034716,0.33379452968902,0.4131152307096,0.16130769086258007,0.16130769086258007
429,0.0005,366666.66666667,0.00010499999999999999,0.001,10.0,1.073757656686459,1.2335444343536657,0.33379452968902,0.41175038431559,0.12953467521494622,0.12953467521494622
430,0.0005,366666.66666667,0.00010499999999999999,0.002,10.0,1.073757656686459,1.3601945728053522,0.33379452968902,0.45402550771512,0.21058525143805515,0.21058525143805515
431,0.0005,366666.66666667,0.00010499999999999999,0.003,10.0,1.073757656686459,1.3855399852912065,0.33379452968902,0.46248566775561,0.22502586133536842,0.22502586133536842
432,0.0005,472222.22222222004,0.00010499999999999999,0.001,10.0,1.1198572562561198,1.3696509110454087,0.33379452968902,0.45718198169054,0.18237760642135434,0.18237760642135434
433,0.0005,472222.22222222004,0.00010499999999999999,0.002,10.0,1.1198572562561198,1.4363686920583807,0.33379452968902,0.47945201202566,0.22035528729652681,0.22035528729652681
434,0.0005,472222.22222222004,0.00010499999999999999,0.003,10.0,1.1198572562561198,1.4628612394258844,0.33379452968902,0.48829507941446,0.23447472249957232,0.23447472249957232
435,0.0005,577777.77777778,0.00010499999999999999,0.001,10.0,1.1750051824046663,1.4295714937079949,0.33379452968902,0.47718314439909,0.17807175956134894,0.17807175956134894
436,0.0005,577777.77777778,0.00010499999999999999,0.002,10.0,1.1750051824046663,1.5001269776366601,0.33379452968902,0.50073417897404,0.21672951695342438,0.21672951695342438
437,0.0005,577777.77777778,0.00010499999999999999,0.003,10.0,1.1750051824046663,1.5296064853142652,0.33379452968902,0.51057427737475,0.23182518269510627,0.23182518269510627
438,0.0005,683333.33333333,0.00010499999999999999,0.001,10.0,1.23777908412614,1.4869624835183057,0.33379452968902,0.49633994285121,0.1675788072356555,0.1675788072356555
