,frequency,peak flux density,duty cycle,loss calculted by iGSE,loss calculted by SE,Measured loss,ratio igse,ratio se,error for iGSE,error for SE,loss error percent by iGSE
173,120000,0.0189,0.1,3.494092404,0.142006127,3.81045,1.090540707,26.83299714,0.083023684,0.962732452,1.090540707
1636,400000,0.011,0.4,3.498695647,0.202980326,4.15524,1.187654034,20.47114655,0.158003955,0.951150758,1.187654034
640,360000,0.0102,0.1,3.510544536,0.14267477,12.2275,3.483077874,85.70190791,0.712897605,0.988331648,3.483077875
1468,330000,0.0123,0.4,3.529840719,0.204787238,3.444,0.975681419,16.81745422,-0.024924715,0.940537968,0.975681419
2101,140000,0.0174,0.9,3.531773876,0.143537569,4.57752,1.296096568,31.89074492,0.228452552,0.96864294,1.296096568
2547,370000,0.0101,0.9,3.56208887,0.144769624,11.0528398,3.102909614,76.34778274,0.67772184,0.986902043,3.102909614
592,330000,0.0108,0.1,3.586314664,0.145754203,10.27004,2.863675099,70.46136433,0.650798374,0.985807825,2.863675099
73,80000,0.024,0.1,3.592249465,0.145995404,4.22078,1.17496851,28.91036214,0.148913361,0.965410326,1.17496851
1346,280000,0.0136,0.4,3.604078394,0.209094211,3.38099,0.938101126,16.16969683,-0.065983157,0.938155921,0.938101126
1493,340000,0.0122,0.4,3.610541178,0.209469156,3.81508,1.056650461,18.21308718,0.053613246,0.945094426,1.056650461
1659,410000,0.011,0.4,3.62822189,0.21049492,4.29972,1.185076363,20.42671624,0.15617252,0.951044505,1.185076362
415,230000,0.0133,0.1,3.633035839,0.147653035,7.10142,1.954679314,48.09532022,0.48840713,0.979207956,1.954679314
2258,210000,0.014,0.9,3.633718641,0.147680785,5.97973,1.645622733,40.49091424,0.392327306,0.975303101,1.645622733
1248,240000,0.0149,0.4,3.646709073,0.211567472,3.18289,0.872811605,15.04432591,-0.145722621,0.933529757,0.872811605
2172,170000,0.0158,0.9,3.652537333,0.14844561,5.09159,1.393987121,34.29936392,0.282633257,0.97084494,1.393987121
245,150000,0.017,0.1,3.678708896,0.149509269,4.5824,1.245654421,30.64960474,0.197209127,0.967373152,1.245654421
434,240000,0.0131,0.1,3.717708403,0.151094278,8.02228,2.157856166,53.09453214,0.536577082,0.981165669,2.157856166
1370,290000,0.0135,0.4,3.722631333,0.215972178,3.47942,0.934666823,16.11050105,-0.069899964,0.937928684,0.934666823
2053,120000,0.0194,0.9,3.740975724,0.152039903,4.19448,1.121226201,27.58802076,0.108119308,0.963752383,1.121226201
2278,220000,0.0138,0.9,3.747620398,0.152309955,6.67569,1.781314352,43.82963674,0.438616772,0.977184388,1.781314352
1953,80000,0.0244,0.9,3.750907325,0.152443541,4.36824,1.164582225,28.65480539,0.141322976,0.965101839,1.164582225
1682,420000,0.011,0.4,3.759248635,0.218096568,4.57232,1.216285605,20.96465819,0.177824685,0.952300677,1.216285605
1518,350000,0.0122,0.4,3.767957674,0.218601831,3.83375,1.017461005,17.53759327,0.01716135,0.942979633,1.017461005
2464,320000,0.0112,0.9,3.769391425,0.153194768,9.76852,2.591537704,63.76536306,0.614128709,0.984317505,2.591537704
2194,180000,0.0155,0.9,3.778953513,0.153583388,5.83397,1.543805707,37.98568371,0.352250095,0.973674292,1.543805707
1224,230000,0.0155,0.4,3.797694301,0.220327031,3.32709,0.876081574,15.10068912,-0.141446219,0.933777857,0.876081574
624,350000,0.0107,0.1,3.816856344,0.155123827,11.4400898,2.997254486,73.74811479,0.66636133,0.986440331,2.997254486
2447,310000,0.0115,0.9,3.854680662,0.156661074,9.57216,2.48325629,61.1010748,0.597302943,0.983633676,2.48325629
2356,260000,0.0127,0.9,3.85690044,0.15675129,7.97888,2.068728536,50.90152687,0.516611299,0.980354224,2.068728536
124,100000,0.0218,0.1,3.88026396,0.157700825,4.60899,1.187803213,29.22616289,0.158109703,0.965784082,1.187803213
2004,100000,0.0218,0.9,3.88026396,0.157700825,4.59835,1.185061132,29.15869337,0.156161675,0.96570491,1.185061132
1705,430000,0.011,0.4,3.891756914,0.225784168,4.82288,1.239255202,21.36057653,0.193063706,0.953184784,1.239255202
2594,400000,0.01,0.9,3.892707712,0.158206561,12.8886,3.310960122,81.46691211,0.697972805,0.987725078,3.310960122
2563,380000,0.0103,0.9,3.899617212,0.158487376,11.8001,3.025963667,74.4545105,0.669526766,0.98656898,3.025963667
525,290000,0.012,0.1,3.905499736,0.158726452,9.36609,2.398179653,59.00774497,0.583017061,0.983053072,2.398179653
2375,270000,0.0125,0.9,3.911500777,0.158970345,8.35024,2.134791855,52.52702949,0.531570257,0.980962183,2.134791855
1542,360000,0.0122,0.4,3.927512558,0.227858567,4.31527,1.098728505,18.93837066,0.089857052,0.947197147,1.098728505
542,300000,0.0118,0.1,3.92886288,0.159675972,10.1900596,2.593640937,63.81711332,0.614441619,0.984330222,2.593640936
1728,440000,0.0109,0.4,3.930737898,0.228045689,4.95234,1.259900845,21.71643771,0.206286746,0.953951932,1.259900845
656,370000,0.0105,0.1,3.942841461,0.160244086,12.82696,3.253227432,80.04638624,0.692612945,0.987507244,3.253227432
686,390000,0.0102,0.1,3.949583136,0.16051808,14.8950098,3.77128656,92.79334639,0.7348385,0.989223365,3.771286561
334,190000,0.0153,0.1,3.955421881,0.160755377,6.17704,1.561664011,38.42509106,0.359657396,0.973975338,1.561664011
1750,450000,0.0108,0.4,3.966217695,0.230104085,5.11129,1.288706368,22.21294768,0.224028045,0.954981211,1.288706368
1273,250000,0.0151,0.4,4.009980829,0.232643047,3.48912,0.870108898,14.99774029,-0.149281432,0.933323289,0.870108898
2498,340000,0.0111,0.9,4.025764173,0.163614212,11.3513203,2.819668468,69.37857147,0.645348377,0.985586328,2.819668469
2126,150000,0.0176,0.9,4.027936361,0.163702494,4.99826,1.240898453,30.53258309,0.194132286,0.967248104,1.240898453
198,130000,0.0191,0.1,4.040772732,0.164224187,4.89112,1.210441746,29.783189,0.173855327,0.966424012,1.210441746
